#key	synopsis
'89 Dennou Kyuusei Uranai (Japan)	Questo gioco è una simulazione di oroscopo/chiromante. All'inizio del gioco, inserisci il tuo nome, quindi scegli il tuo compleanno e sesso. A seconda della tua scelta, d'ora in poi vedrai un pianeta che governa il tuo destino. Dopodiché, attraversi una varietà di menu e sottomenu per conoscere la tua vita. Puoi scoprire cosa generalmente ti aspetta nella vita o semplicemente inserire una data esatta e leggere il tuo oroscopo. Puoi controllare lo stato della tua salute e dei tuoi oggetti fortunati, oltre a sapere che tipo di persona sei. Naturalmente, puoi anche aggiungere i dati di un'altra persona e vedere se c'è la possibilità di una relazione romantica tra voi due.
10-Yard Fight (USA, Europe)	10-Yard Fight è un semplice gioco arcade basato sul football americano. Un giocatore può giocare contro il computer o un secondo giocatore testa a testa e può scegliere tra cinque livelli di difficoltà (liceo, college, professionista, playoff e Super Bowl). Se vinci una partita a un livello di difficoltà inferiore, la partita successiva viene giocata automaticamente al livello di difficoltà successivo più alto.
1942 (Japan, USA) (En)	Una conversione del gioco arcade, 1942 è uno sparatutto a scorrimento verticale per uno o due giocatori. L'anno è il 1942 e tu sei un audace pilota di caccia &quot;Super Ace&quot;. Inizi e finisci ciascuno dei numerosi livelli su una portaerei e poi fai volare il tuo aereo in battaglia contro il nemico sia in mare che in terra. Dopo aver distrutto alcune formazioni aeree, puoi raccogliere diversi potenziamenti per aumentare la tua potenza di fuoco e le possibilità di sopravvivenza.
1943 - The Battle of Midway (USA)	Il sequel di 1942, che è ancora uno sparatutto a scorrimento verticale, vede il giocatore combattere ancora una volta sopra le nuvole durante la seconda guerra mondiale, questa volta in un'intensa battaglia appena al largo delle isole Midway. Gli aggiornamenti al gameplay includono una barra dell'energia, che può essere abbattuta venendo colpita dal fuoco in arrivo o utilizzando un'arma speciale. La barra dell'energia può essere ricaricata raccogliendo power-up, mentre armi speciali (fulmini, cicloni e onde) possono abbattere tutti i combattenti sullo schermo in quel momento.
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	Quattro studenti delle scuole superiori giapponesi stavano accampandosi in campagna, quando improvvisamente videro un UFO atterrare nelle vicinanze. Prima che riuscissero a capire qualcosa, un piccolo alieno rosa con una faccia dall'aspetto severo è uscito dall'astronave e ha annunciato che la fine del secolo è vicina - e nell'anno 1999 accadrà qualcosa di straordinario.
3-D WorldRunner (USA)	Da qualche parte in un luogo noto come Solar System #517, il malvagio Grax e la sua orda di Serpentbeast stanno terrorizzando le persone degli otto mondi. È necessario un eroe che sappia correre e saltare. Salta tra i mondi, in effetti. Quell'eroe è il WorldRunner. 3-D WorldRunner è un gioco in terza persona, dietro il giocatore, che si muove &quot;avanti&quot; verso lo schermo e lontano da te. La tua unica abilità è la capacità di saltare. Salta su buche, nemici e in cima a colonne. Gli oggetti bonus si trovano nell'aria, sopra le colonne e sdraiati a terra. Inoltre il gioco è visualizzabile in 3D con un paio di occhiali 3D (inclusi nella confezione originale).
4 Nin Uchi Mahjong (Japan)	Questo è un gioco di mahjong generico e molto primitivo. È il secondo gioco di mahjong di Nintendo realizzato per Famicom, il primo intitolato semplicemente Mahjong. Questo gioco ha tessere più piccole rispetto al primo, ma consente alle persone di giocare contro tre avversari informatici invece di uno. Entrambi i giochi sono realizzati con un'unica PROM da 16kbyte e CHROM da 8kbyte, quindi non utilizzano chip mapper speciali.
720 Degrees (USA)	In 720º su NES, prendi il tuo skateboard e attraversi Skate City, il più grande skatepark mai costruito. Puoi fare ollie e grind per ottenere il massimo dei punti nelle competizioni, al fine di ottenere medaglie. A tale scopo sono previste rampe speciali intorno al parco principale.
8 Eyes (World) (Digital)	Il gioco si svolge in un universo post-apocalittico in fase di ricostruzione. Il “Grande Re” ha gli 8 gioielli formati al centro delle 8 esplosioni nucleari che hanno quasi distrutto la Terra, detti anche 8 Occhi. Giochi nei panni di Orin e del suo falco da battaglia Cutrus e la tua missione è infiltrarti negli 8 castelli e recuperare i gioielli combattendo i soldati mutanti del re.
A Ressha de Ikou (Japan)	A Ressha de Ikou è un gioco di costruzione di simulazione. Il titolo si traduce in &quot;Let's Take the A-Train&quot;. I giocatori devono utilizzare le risorse a loro disposizione per creare un vivace centro ferroviario e aumentare i loro profitti man mano che procedono.
Aa Yakyuu Jinsei Icchokusen (Japan)	In questo gioco devi aiutare un ragazzino a diventare una star del baseball. Il tuo obiettivo è superare le scuole elementari e superiori, sviluppare la sua personalità (rendendolo più attraente, ecc.) e infine lasciarlo arruolare da una squadra di baseball professionista. Tutto ciò si ottiene giocando (da solo, contro computer o in modalità a due, tre e quattro giocatori) un gioco da tavolo in cui porti il ​​tuo eroe attraverso una serie di campi. A differenza della maggior parte dei giochi simili, la quantità di campi che puoi avanzare non è determinata da un lancio di dadi, ma da un misuratore di potenza in movimento che devi fermare al momento giusto per saltare la quantità desiderata di campi.
Abadox - The Deadly Inner War (USA)	Da qualche parte nella galassia, un'enorme creatura spaziale aliena nota come Parasitis viaggia tra i regni digerendo la sua preghiera. La sua ultima vittima è il pianeta Abadox che ora è consumato dall'entità aliena. Tuttavia, per digerire questo pianeta, Parasitis ha dovuto assumere la forma del pianeta stesso. La flotta stellare di Abadox, la World Alive Force (WAF), usa questo tempo per lanciare un assalto a tutto campo alla forma di vita aliena, di cui tu sei un solo soldato.
Addams Family, The (USA)	The Addams Family è un platform a scorrimento laterale basato sul film con lo stesso nome. Il giocatore assume il ruolo di Gomez che cerca i suoi familiari scomparsi. Per trovarli deve esplorare sei diverse parti della villa, ad es. i boschi, che sono livelli base della piattaforma: il giocatore si sposta da sinistra a destra saltando molto ed evitando i nemici. Alcuni di loro possono essere eliminati con un salto in testa. La differenza principale rispetto alle altre versioni di questo gioco è un design dei livelli unico. C'è anche un misuratore di vita che permette di essere colpiti più spesso prima di morire.
Addams Family, The - Pugsley's Scavenger Hunt (USA)	The Addams Family: Pugsley's Scavenger Hunt è un platform a scorrimento laterale basato sulla seconda serie TV animata The Addams Family (1992). L'intera famiglia Addams è tenuta prigioniera da vari mostri in tutta la villa e Pugsley ha bisogno di salvarli. Sono nascosti in varie parti del palazzo, ad es. la foresta, a cui si può accedere in qualsiasi ordine. Il gameplay segue i consueti standard platform: Pugsley si muove da sinistra a destra saltando molto ed evitando i nemici. nnQuesta versione del gioco è fortemente basata sulla versione SNES di The Addams Family: presenta la stessa trama con un altro personaggio principale e un level design quasi identico. Un'altra differenza rispetto alla versione SNES di questo gioco è che Pugsley può prendere solo due colpi prima di morire, ma c'è un potenziamento aggiuntivo che lo rende più veloce e gli dà un colpo in più.
Advanced Dungeons & Dragons - Dragons of Flame (Japan)	Ambientato tra i giochi d'azione di AD&D Dragonlance della SSI Heroes of the Lance e Shadow Sorcerer. Questo gioco segue la tradizione di Heroes of the Lance con una vista a scorrimento laterale orientata all'azione, una fuga dai giochi di ruolo GoldBox standard. Dal punto di vista della trama, si svolge anche tra questi due giochi, seguendo da vicino i moduli del romanzo / gioco scritti da Weiss / Hickman. Prendi il controllo di un personaggio alla volta, con ogni eroe che ha abilità diverse.
