#key	synopsis
'96 Zenkoku Koukou Soccer Senshuken (Japan)	O jogo tem algumas semelhanças com o Hat Trick Hero, Aoki Densetsu Shoot! ou qualquer outro jogo de futebol com a perspectiva esquerda-direita, e Top Striker ou Libero Grande por causa da habilidade de jogar como apenas um jogador, em vez de controlar toda a equipe. Esse recurso serviu como um modelo para o &quot;modo de carreira&quot; fornecido na maioria dos jogos modernos da EA Sports. [Citação necessária] Houve muitas outras melhorias sobre as duas versões originais. Um dos mais importantes é a disponibilidade de criar e personalizar um personagem / jogador de futebol e treinar com o instrutor antes de cada partida, entre outras opções. Treinadores dão relatórios verbais que variam entre &quot;perfeito&quot; e &quot;precisa de melhorias&quot;.
3 Ninjas Kick Back (USA)	Você deve ajudar um velho samurai a recuperar uma adaga que ele obteve como prêmio por suas conquistas nas artes marciais. A adaga foi roubada por alguém que invejava o velho guerreiro - agora ele não pode dar esse prêmio aos guerreiros da próxima geração. Escolha um dos três jovens ninjas para ajudar o velho! Este é um jogo de plataforma tradicional baseado no filme 3 Ninjas Contra-Atacam. Cada um dos três ninjas possui armas e habilidades únicas. Todos os três podem correr, agachar, rastejar, escalar, pular e se pendurar em árvores, cordas e etc. Você vai encontrar muitos obstáculos e inimigos, como inimigos normais e chefes, que você terá que superar e derrotar.
3x3 Eyes - Juuma Houkan (Japan)	3x3 Eyes: Juuma Houkan (&quot;Olhos 3x3: Respeitosa Restauração da Besta Mágica&quot;) é um jogo de ação de side scroll com elementos de aventura gráfica baseados no mangá 3x3 Eyes. O jogador, como Yakumo, ajuda seu companheiro Pai, uma lendária criatura mágica que ressuscitou Yakumo como seu imortal servo morto-vivo para poupar sua vida, para se tornar um humano. Ao fazer isso, sua mortalidade também retornará. O jogo equilibra áreas de aventura e áreas de ação. Quando em uma área de aventura, Yakumo investiga o ambiente e fala com os NPCs para dicas sobre onde ir em seguida. Quando em zonas de ação, o jogador pode correr, pular ou escalar obstáculos e lutar contra demônios hostis. Juuma Houkan é o segundo jogo do Super Famicom baseado no 3x3 Eyes, após 3x3 Eyes: Seima Kourinden de 1992.
3x3 Eyes - Seima Kourinden (Japan)	3x3 Eyes: Seima Kourinden é um RPG desenvolvido e publicado pela Yutaka para a plataforma SNES. 3x3 Eyes: Seima Kourinden foi lançado no Japão e é baseado na série 3x3 Eyes, sobre uma garota mágica de três olhos e seu imortal campeão. O jogo foi seguido com outro jogo Super Famicom 3x3 Eyes, 3x3 Eyes: Juuma Houkan.
4-nin Shougi (Japan)	4 Nin Shogi (&quot;4 Person Shogi&quot;) é um jogo de shogi para o Super Famicom que é baseado em uma variante de quatro jogadores do jogo. Cada jogador começa em um lado do tabuleiro e tem menos peças do que no jogo padrão de dois jogadores. Cada lado tem seu rei, uma torre, dois generais de ouro, dois generais de prata e três peões. Os jogadores têm a opção de se unir temporariamente a outros jogadores para tirar os outros do jogo.
7th Saga, The (USA)	Seu personagem embarca em uma missão para encontrar sete cristais que estão escondidos através da terra de Ticondera. Existem sete personagens para escolher, cada um com diferentes características e habilidades. O jogo é apresentado em uma perspectiva 2.5D, porém muda para uma visão semi-3D quando o combate iniciar. As batalhas são em turno e, dependendo do personagem que você escolheu, seu combate pode ser totalmente baseado em danos físicos ou magia. Os inimigos ao longo do mundo não podem ser vistos, porém há um radar que ajuda a indicar - por meio de pontos brancos - onde os inimigos estão.
90 Minutes - European Prime Goal (Europe)	90 minutos: European Prime Goal é um jogo de futebol com as 14 equipes da primeira divisão japonesa (J. League) para jogar. Na versão européia, foram substituídas por equipes nacionais, mas os modos de reprodução ainda são remanescentes da original. Os modos disponíveis são partidas de exibição, torneio, liga, copa e all-star (as equipes são divididas em duas ligas e o vencedor geral é decidido com as eliminatórias). Com a opção &quot;Você é um herói&quot;, o jogador pode criar um novo atleta, alterar suas estatísticas com algumas lições de treinamento e trocá-lo por um existente. O jogador controla o atleta que tem a bola ou, quando em defesa, quem está mais próximo. O campo é mostrado de uma perspectiva lateral ligeiramente inclinada. Durante a maioria dos modos, todas as equipes podem ser controladas por jogadores humanos, mas apenas dois podem jogar ao mesmo tempo.
A.S.P. - Air Strike Patrol (USA)	Jogando como piloto de jato da força &quot;Coalition&quot;, os jogadores assumem o controle de um jato F-15 Eagle ou A-10 Tankbuster. A missão é neutralizar as forças ofensivas do exército de Zarak, que invadiram recentemente um país vizinho menor. O exército de Zarak possui muitas unidades terrestres, incluindo tanques, lançadores de mísseis, mísseis SCUD e veículos blindados. Para atingir o objetivo final de derrotar o exército de Zarak, os jogadores se aventuram em várias missões (chamadas &quot;sorties&quot;) que têm objetivos variados e específicos. Normalmente, várias instalações, como locais de radar, bases aéreas ou unidades terrestres, são o alvo. Outras missões incluem desativar um oleoduto e destruir os lançadores de SCUD antes de dispararem.
Aaahh!!! Real Monsters (USA)	Neste jogo, baseado em quadrinhos populares de nickelodeon, você controla três monstros: ickis, oblina e krumm. O gromble, um diretor na escola monstro, precisa de você para realizar o teste final - exame de meio termo monstro - para provar que são monstros reais. Você deve coletar lixo, jogá-lo nas pessoas e assustá-los! Este é um jogo de plataforma, onde você controla três personagens. Cada um deles tem um movimento especial que é freqüentemente usado para resolver quebra-cabeças e superar obstáculos: ickis pode voar por um curto período de tempo, oblina pode chegar a bordas altas e o krumm pode escanear áreas fora da tela. Eles também podem coletar livros de monstros, que os ensinarão a assustar pessoas. Ajude os três monstros a se formar!
ABC Monday Night Football (USA)	A ABC Sports e a Data East se unem para levá-lo ao campo de futebol! Amarre seu capacete, coloque essa coisa preta sob seus olhos e prepare-se para o futebol, estilo Frank Gifford! Possui tecnologia de síntese de voz AFB. Você pode mudar os receptores na mosca, jogar blitz enlouquecedora no QB e olhar fixamente para as animadoras cheerleaders. Tudo isso soa igual ... é futebol.
