#key	synopsis
'89 Dennou Kyuusei Uranai (Japan)	'89 Dennou Kyuusei Uranai est un jeu particulier puisque le joueur doit rentrer sa date de naissance pour connaître sa planète de prédilection. Ensuite la cartouche vous propose de répondre à une série de questions pour vous lire l'avenir. 36 15 voyance avant l'heure ?
10-Yard Fight (USA, Europe)	Le jeu est jouable en solo ou en face à face avec un second joueur et propose 5 niveaux de difficulté. Vous pouvez contrôler un certain nombre de joueurs selon la situation (attaque ou défense) et devez marquer un maximum de points en deux mi-temps de 30 minutes chacune (en temps accéléré).
1942 (Japan, USA) (En)	Un shoot'em up qui vous place aux commandes d'un avion américain face aux flottes japonaises. A chaque début de niveau vous décollez de votre porte-avions pour survoler terres et mers en vue de détruire des formations entières d'avions ennemis, cela vous permettant d'acquérir des bonus pour vos armes.
1943 - The Battle of Midway (USA)	Ce jeu est la suite de 1942, avec un gemaplay assez similaire. Le joueur devra à nouveau se battre dans le ciel pendant la Seconde Guerre mondiale. Cette bataille intense se déroule désormais au large des îles Midway. Les améliorations apportées au gameplay comprennent une barre d'énergie, qui peut être épuisée en étant touché par des tirs ou en utilisant une arme spéciale. La barre d'énergie peut être réapprovisionnée en ramassant des bonus. Des armes spéciales (éclairs, cyclones et vagues) auront quant à elles un force de destruction assez conséquente.
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	1999 : Hore, Mitakotoka! Seikimatsu est un jeu de plateforme sur Famicom inspiré de jeu de société éponyme. Dans cette cartouche, on évolue dans une ville sous forme de plateau de jeu. Pour avancer, vous retournez des cartes qui vous donnent le nombre de cases que vous pouvez parcourir. L'histoire voit des aliens débarquer sur la terre pour prévenir les humains que leur fin est proche.
3-D WorldRunner (USA)	3D World Runner sur Nes est un jeu d'action/tir. Vous incarnez ici un petit personnage en vue de dos, qui devra traverser les 8 niveaux en courant tout en slalomant entre les ennemis à abattre, les obstacles et les crevasses. Chaque fin de niveau est marquée par un combat contre un boss.
4 Nin Uchi Mahjong (Japan)	Jeu de Mahjong où l'on peut affronter trois autres joueurs contrôlés par l'ordinateur.
720 Degrees (USA)	Dans 720º sur NES, vous prenez votre planche de skate et vous ridez dans Skate City, le plus grand skatepark jamais construit. Vous pouvez faire des ollies et des grinds pour marquer le maximum de points dans les compétitions, afin d'obtenir des médailles. Des rampes spéciales sont prévues à cet effet aux alentours du parc principal.
8 Eyes (World) (Digital)	Le jeu se déroule dans un univers post-apocalyptique en cours de reconstruction. Le «Great King» possède les 8 joyaux formés au centre des 8 explosions nucléaires qui ont failli détruire la Terre, aussi appelés 8 Eyes. Vous incarnez Orin et son faucon de combat Cutrus et votre mission est d'infiltrer les 8 châteaux et de récupérer les joyaux en combattant les soldats mutants du roi.
A Ressha de Ikou (Japan)	A Ressha de Ikou est un jeu de simulation de voies ferrées sur Famicom comme on en raffole au Japon. Il faut construire des voies et déployer des trains à proximité des villes pour espérer y faire venir un maximum de personnes et ainsi gagner de l'argent.
Aa Yakyuu Jinsei Icchokusen (Japan)	Aa Yakyuu Jinsei Icchokusen est un jeu de plateau rempli de mini-jeux. Vous suivez la vie d'une future star du baseball, de son enfance à sa consécration. Son évolution physique est aussi joliment détaillée tout au long de votre progression.
Abadox - The Deadly Inner War (USA)	Abadox est un jeu d'action sur Nes. Quelque part, au fin fond de la galaxie, une grande créature alien, Parasitis, a englouti la planète Abadox toute entière. Mais les forces armées de la planète se mettent à l'assaut des créatures étrangères pour sortir de là. Dans la peau d'un soldat, seul vous pouvez arriver à libérer votre peuple.
Addams Family, The (USA)	The Addams Family est un jeu de plates-formes sur Nes. L'histoire se situe vers la fin du film La Famille Addams alors que la famille est expulsée de son manoir par un avocat zélé. Comme si cela ne suffisait pas, on apprend que Morticia, Pugsley, Mercredi et les autres ont disparu ! Vous incarnez donc Gomez, seul rescapé, qui partira à la recherche de sa famille et affrontera tous ses ennemis jusqu'au dernier : l'avocat !
Addams Family, The - Pugsley's Scavenger Hunt (USA)	The Addams Family : Pugsley's Scavenger Hunt est un jeu de plates-formes sur Super Nintendo. Inspiré de l'univers délirant de la Famille Addams, ce jeu vous met dans la peau de Pugsley, le fils de Gomez et de Morticia. Plusieurs membres de la famille ont été faits prisonniers dans le manoir et il ne tient qu'à vous de fouiller les lieux pour les libérer. Il est d'ailleurs possible d'explorer les pièces dans n'importe quel ordre !
Advanced Dungeons & Dragons - Dragons of Flame (Japan)	Dragons of Flame est un jeu de rôle/action sur NES. Vous prenez le contrôle d'un seul héros à la fois, chacun disposant de caractéristiques différentes. Plus vous avancez dans le jeu, plus le niveau de votre personnage augmente.
Advanced Dungeons & Dragons - DragonStrike (USA)	Dragonstrike est un jeu d'action sur Nes. Basé sur l'univers médiéval fantasy d'Advanced Dungeons & Dragons intitulé Dragonlance, ce jeu vous offre une simulation de vol de dragon. Il comporte 20 missions dans lesquelles vous devrez intercepter des dragons ennemis, détruire des flottes et protéger les forces du Bien.
Advanced Dungeons & Dragons - Heroes of the Lance (USA)	Dans le jeu de rôle Heroes of the Lance sur NES, prenez la tête d'une équipe de huit héros et partez à la recherche des disques de Mishakal dans une cité en ruine. Un seul héros peut être contrôlé à la fois et chacun possède ses propres caractéristiques au combat. En privilégiant la force ou la magie, vous pouvez donc créer votre propre style de jeu par le biais des différentes combinaisons.
Advanced Dungeons & Dragons - Hillsfar (USA)	Hillsfar (ou Advanced Dungeons & Dragons: Hillsfar) est un jeu vidéo de rôle développé par Westwood Studios et publié par Strategic Simulations en 1989 sur MS-DOS, Amiga, Atari ST et Commodore 64 puis porté sur NES en novembre 1993. Offrant des quêtes générées aléatoirement, le jeu est basé sur les règles de Donjons et Dragons et se déroule dans l'univers des Royaumes oubliés. Au total, Strategic Simulations a vendu plus de 100 000 copies du jeu. Les joueurs ont la possibilité de créer leurs propres héros, de choisir des personnages pré-tirés ou d'importer leurs personnages depuis d'autres jeux de Strategic Simulations, Inc (par exemple Pool of Radiance ou Curse of the Azure Bonds). Lors de la création d'un héros, le joueur peut choisir sa race (nain, humain, elf ou gnome), sa classe (prêtre, guerrier, magicien ou voleur), et son alignement. Les caractéristiques du nouveau personnage (sa force, son intelligence, son charisme), sont assignées aléatoirement. Le jeu se déroule dans la cité fictive de Hillsfar.
Advanced Dungeons & Dragons - Pool of Radiance (USA)	Pool of Radiance est un jeu de rôle sorti sur Nes. Votre ville est attaquée par de terribles monstres et vous allez devoir tous les terrasser. Une fois ce détail achevé, il ne vous reste plus qu'à chercher la légendaire Pool of Radiance dans des donjons à traverser en vue à la première personne.
Adventure Island (USA)	Vous venez juste de découvrir que la Princesse Leilani a été kidnappée par le sorcier diabolique et emmenée sur Adventure Island dans le Pacifique Sud. Vous arrivez sur Adventure Island sans armes ni nourriture. L'île est remplie de forêts tropicales, de montagnes et de cavernes. Vous devez explorer l'île pour trouver votre skateboard, votre hachette, de la nourriture et autres accessoires utiles qui y sont cachés. Dépêchez-vous de trouver des armes et de la nourriture car vous en aurez besoin pour combattre les araignées, les serpents, les chauve-souris et les démons du sorcier. Le sorcier diabolique a posé plein de pièges que vous devrez surmonter avant de pouvoir l'affronter en duel. Êtes-vous de taille à relever le défi? Pourrez-vous affronter Adventure Island pour sauver la Princesse Leilani?
Adventure Island 3 (USA)	Jeannie Jungle kidnappée par des extraterrestres! Une mystérieuse soucoupe volante vient de s'envoler avec la petite amie de Master Higgins et c'est à lui de la sauver! Mais il doit d'abord vaincre des dizaines de monstres mutants sur huit îles inexplorées! Volez sur un ptérodactyle bombardier ou chevauchez un serpent de mer à la recherche de la disparue! Frayez-vous un chemin à travers tous les nouveaux dangers et défis! Trouvez des chambres au trésor secrètes, surfez à travers les vagues tueuses et saisissez tous les objets bonus que vous pourrez! Action, aventure et plus vous attendent dans ce nouvel épisode passionnant de la saga Adventure Island!
Adventure Island II (USA)	Plongez dans l'action avec Adventure Island II. Le sorcier guérisseur diabolique vient de kidnapper votre bien-aimée. Vous devrez combattre sur huit îles différentes pour la reprendre! Affrontez des monstres préhistoriques, les créatures cracheuses de feu les plus répugnantes qui soient! Echappez à des volcans en fusion. Esquivez les scorpions géants et les cobras royaux. Aiguisez votre hache, enfilez votre tenue en peau de léopard et partez pour Adventure Island II. Vous allez en voir de toutes les couleurs.
Adventures in the Magic Kingdom (USA)	Adventures In The Magic Kingdom est un jeu d'action et de plates-formes sur Nintendo. Le soft vous propose d'aider Mickey et Goofy à retrouver la clé d'or du portail du château de Cendrillon pour que la parade Disney puisse commencer. Vous allez devoir parcourir 5 stages différents pour pouvoir retrouver la fameuse clé. Adventures In The Magic Kingdom n'offre pas de mode multijoueur.
Adventures of Bayou Billy, The (USA)	Vous incarnez Billy West, dont la petite amie Annabelle a été capturée par le maléfique gangster Gordon. Le soft mélange 3 phases de jeu : du beat'em all classique où vous pouvez utiliser des armes de poing et un pistolet, du shoot'em up à la manette ou au Nes Zapper où l'objectif est d'éliminer les ennemis apparaissant à l'écran, et enfin des phases de courses où vous devez échapper à vos assaillants.
Adventures of Dino Riki (USA)	The Adventures Of Dino-Riki sur Nes est un jeu d'action dans lequel vous incarnez le héros du même nom, Dino-Riki. Ce dernier est un chasseur de dinosaures et doit continuellement occire ses ennemis grâce à ses armes primitives. Au fil du jeu, vous gagnerez des améliorations pour vos projectiles et devrez affronter des boss gigantesques !
Adventures of Dr. Franken, The (USA) (Proto)	Jeu d'action-plateformes sorti sur Game Boy et SNES mais jamais officiellement sur NES restant au stade de prototype
Adventures of Gilligan's Island, The (USA)	Gilligan's Island sur Nes est un jeu d'aventure. Vous êtes le Capitaine qui souhaite explorer une île avec son ami Gilligan contrôlé par l'ordinateur. Evitez les pièges, les ravins, parlez aux habitants pour obtenir des informations et résolvez les énigmes.
Adventures of Lolo (Japan) (En)	En visite à Eden, un pays d'amour et de paix, le Prince Lolo de Gentryland passe d'agréables journées en compagnie de la princesse Lala. Mais un jour, Egger, le Roi des ténèbres, qui a décidé de conquérir Eden, kidnappe la princesse sous les yeux de Lolo. Après un voyage long et difficile, Lolo arrive au maléfique Château du labyrinthe. Le château est gardé par une armée de monstres retors à la solde d'Egger. Lolo peut-il résoudre les énigmes sans fin du château et sauver Lala? Lolo n'est pas doué de force ou d'agilité, mais a du courage et de la patience. Maintenant, la bataille de l'esprit commence. Bonne chance, Lolo.
Adventures of Lolo (USA)	En visite à Eden, un pays d'amour et de paix, le Prince Lolo de Gentryland passe d'agréables journées en compagnie de la princesse Lala. Mais un jour, Egger, le Roi des ténèbres, qui a décidé de conquérir Eden, kidnappe la princesse sous les yeux de Lolo. Après un voyage long et difficile, Lolo arrive au maléfique Château du labyrinthe. Le château est gardé par une armée de monstres retors à la solde d'Egger. Lolo peut-il résoudre les énigmes sans fin du château et sauver Lala? Lolo n'est pas doué de force ou d'agilité, mais a du courage et de la patience. Maintenant, la bataille de l'esprit commence. Bonne chance, Lolo.
Adventures of Lolo 2 (USA)	Avec son courage infaillible et son inébranlable tenacité, Lolo, notre héros, a charmé et enchanté les joueurs friands d'énigmes tout autour du monde - et maintenant, le voici prêt à partir pour sa deuxième quête! Joignez vos forces à celles de Lolo et de sa fidèle amie Lala pour accomplir un autre voyage rempli de péripéties et de mystères. Toute l'équipe est de retour - Snakey, Leeper, Medusa, Gol, Don Medusa, Rocky et, bien entendu, Alma, notre préférée.
Adventures of Lolo 3 (USA)	Le but du jeu est de collecter tous les coeurs du niveau. Mais de nombreux ennemis vous mettront des bâtons dans les roues. Ainsi, ils vous empêcheront d'aller chercher les coeurs, et il vous faudra pousser quelques éléments du décor pour leur barrer la route.
Adventures of Lolo II (Japan)	Le but du jeu est de collecter tous les coeurs du niveau. Mais de nombreux ennemis vous mettront des bâtons dans les roues. Ainsi, ils vous empêcheront d'aller chercher les coeurs, et il vous faudra pousser quelques éléments du décor pour leur barrer la route.
Adventures of Rad Gravity, The (World) (Evercade)	Adventures Of Rad Gravity est un jeu de plates-formes sur NES. Vous incarnez Rad Gravity, un homme de l'espace futuriste, et devez empêcher un scientifique devenu fou de rompre l'équilibre de l'univers. Parcourez les différentes planètes pour renouer le contact entre les civilisations et bravez les périls pour arriver jusqu'aux camps des colons !
Adventures of Rocky and Bullwinkle and Friends, The (USA)	The Adventures of Rocky and Bullwinkle and Friends sur Nes est un jeu de plates-formes basé sur l'univers du dessin animé du même nom. Les vils Boris et Natasha on réussi à s'emparer d'objets précieux du Musée Frostbite Falls et nos deux héros doivent tout faire pour les rattraper. En plus des niveaux de plates-formes, plusieurs mini-jeux parsèment l'aventure tandis que d'autres personnages de la série font leur apparition.
Adventures of Tom Sawyer (USA)	Adventures of Tom Sawyer est un jeu de plates-formes sur NES. Inspiré du roman éponyme, ce jeu vous met dans la peau de Tom Sawyer (ou de Huck Finn en mode coopération). Revivez ses aventures sur le Mississipi en sautant par-dessus les dangers multiples et en affrontant les nombreux ennemis avec des pierres !
After Burner (Japan) (En)	Directement issu des salles d'arcade, After Burner sur Nes vous permet de vous installer dans le cockpit d'un F-14 Thunder Cat pour une série de missions en haute altitude. Ce shoot'em up vous donne accès à tout l'armement que l'on peut attendre d'un avion de combat dont les précieux missiles.
Ai Sensei no Oshiete - Watashi no Hoshi (Japan)	Ai Sensei no Oshiete : Watashi no Hoshi est un simulateur d'horoscope qui ne s'adresse qu'aux Japonais puisqu'il vous faudra choisir la région où vous vivez au Japon.
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan)	Aigiina No Yogen: Balubalouk Non Densetsu Yori suit les aventures scéniques de Jason alors qu'il traverse Balba à la recherche des Aura-Stars, objets magiques créés par le roi Aighina. Ses aventures l'emmènent à travers six donjons de différentes tailles dans sa quête pour débarrasser le pays du mal. Sur le chemin, Jason doit également trouver la princesse Laira, la fille du roi Aighina et la seule qui sache comment utiliser les Aura-Stars.
Air Fortress (USA)	Les habitants de la planète Farmel, qui ont récemment acquis la technologie nécessaire pour voyager dans l'espace, ont exploré la galaxie pour trouver un ensembles de «forteresses aériennes» monstrueuses se déplaçant dans leur direction. Ils ont rapidement découvert que les forteresses se comportaient comme des parasites interstellaires, consommant toutes les ressources et les êtres vivants sur leur passage. La fédération spatiale a envoyé sa flotte la plus puissante, qui a rapidement été éliminée par les puissantes forteresses. Dans une ultime manoeuvre, ils envoient un seul guerrier nommé Hal Bailman, équipé d'un scaphandre spatial blindé, d'armes puissantes et d'un chasseur spatial pour infiltrer les forteresses et les détruire de l'intérieur.
